dataset,split,model,experiment,seed,AP_easy,AP_mod,AP_hard,mAP50,MR_hard,FPS
citypersons,test,yolov8x,baseline,42,79.60000000000001,70.86,39.58,71.78999999999999,77.22,9.23
citypersons,test,yolov8x,baseline,123,79.08,70.89999999999999,39.01,71.5,77.59,6.23
citypersons,test,yolov8x,baseline,456,79.24,70.17,39.61,71.32,77.21000000000001,9.31
citypersons,test,yolov8x,body_part_occlusion,42,80.06,71.67,38.25,72.1,78.57,9.24
citypersons,test,yolov8x,body_part_occlusion,123,79.28,71.19,38.98,71.46000000000001,77.78,8.42
citypersons,test,yolov8x,body_part_occlusion,456,79.17999999999999,70.91,37.57,71.15,78.53999999999999,9.24
citypersons,test,yolov8x,combined_all,42,78.97999999999999,70.67,39.190000000000005,71.47,77.47,9.25
citypersons,test,yolov8x,combined_all,123,79.4,70.17999999999999,36.7,70.74000000000001,79.5,9.28
citypersons,test,yolov8x,combined_all,456,78.85,69.23,36.58,70.39,79.34,9.3
citypersons,test,yolov8x,combined_best_two,42,79.64,70.05,38.440000000000005,71.37,78.14999999999999,9.3
citypersons,test,yolov8x,combined_best_two,123,79.36,70.06,38.6,71.13000000000001,77.86,9.26
citypersons,test,yolov8x,combined_best_two,456,78.86999999999999,69.25,37.3,70.6,79.16,9.25
citypersons,test,yolov8x,cutout,42,79.27,70.86,39.290000000000006,71.61,77.16,9.29
citypersons,test,yolov8x,cutout,123,79.16,71.44,39.660000000000004,71.77,77.29,9.26
citypersons,test,yolov8x,cutout,456,78.48,70.71,39.61,71.34,76.92999999999999,9.27
citypersons,test,yolov8x,gridcut,42,79.49000000000001,70.6,37.86,71.41999999999999,78.88,9.27
citypersons,test,yolov8x,gridcut,123,79.16,70.77,39.44,71.39,77.2,9.27
citypersons,test,yolov8x,gridcut,456,79.25999999999999,70.62,39.56,71.41,77.32,9.21
citypersons,test,yolov8x,hide_and_seek,42,79.84,70.67,40.14,71.72,76.29,9.2
